,date,manner_of_death,age,city,state,threat_level,flee,body_camera,poverty_rate,Median Income_x,percent_completed_hs_x,gender_M,race_B,race_H,race_N,race_P,race_W,armed_unarmed,armed_undetermined,signs_of_mental_illness_True,Age_range_20 - 35,Age_range_36 - 49,Age_range_50 - 64,Age_range_Over 65,Age_range_Under 12,daysofweek_Monday,daysofweek_Saturday,daysofweek_Sunday,daysofweek_Thursday,daysofweek_Tuesday,daysofweek_Wednesday,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,year_2014,year_2015,year_2016,year_2017,year_2018,refined_cities,Geographic Area,City_x,Median Income_y,city_refind,City_y,share_white,share_black,share_native_american,share_asian,share_hispanic,sum,City,percent_completed_hs_y
3339,2015-06-17,shot,40,clanton,AL,attack,fleeing,False,20.65,40577.31,80.3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,clanton,AL,clanton city,39823,clanton,Clanton city,0.01,0.19,0,0.01,0.06,100.89999999999999,Clanton city,76.8
1295,2017-07-18,shot,32,clay,AL,attack,Not fleeing,False,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,clay,AL,clay city,68717,clay,Clay city,0.01,0.13,0,0.01,0.01,99.59999999999998,Clay city,92.2
1217,2017-08-17,shot,65,crenshaw county,AL,no_attack,Not fleeing,False,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,crenshaw county,,,,,,,,,,,,,
3682,2015-02-11,shot,46,dadeville,AL,attack,fleeing,True,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,dadeville,AL,dadeville city,29368,dadeville,Dadeville city,0.01,0.48,0,0.01,0.01,99.5,Dadeville city,73.7
5522,2013-03-19,Gunshot,35,deatsville,AL,,,,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,deatsville,AL,deatsville town,78125,deatsville,Deatsville town,0.01,0.2,0,0,0.02,98.99999999999999,Deatsville town,96.3
1366,2017-06-24,shot,24,deer park,AL,no_attack,Not fleeing,False,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,deer park,AL,,40577.31,deer park,,0.32,0.67,0,0,0.01,,Deer Park,86.3
3793,2014-12-30,Gunshot,30,dothan,AL,,,,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dothan,AL,dothan city,42426,dothan,Dothan city,0.01,0.32,0,0.01,0.03,100,Dothan city,86.2
2386,2016-05-28,shot,50,eastaboga,AL,attack,Not fleeing,False,20.65,40577.31,80.3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,eastaboga,,,,,,,,,,,,,
2371,2016-06-04,shot,35,eufaula,AL,attack,fleeing,True,20.65,40577.31,80.3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,eufaula,AL,eufaula city,32845,eufaula,Eufaula city,0,0.44,0,0.01,0.04,100.99999999999999,Eufaula city,81.5
4980,2013-10-15,Gunshot,26,eufaula,AL,,,,20.65,40577.31,80.3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,eufaula,AL,eufaula city,32845,eufaula,Eufaula city,0,0.44,0,0.01,0.04,100.99999999999999,Eufaula city,81.5
1043,2017-10-26,shot,32,fairhope,AL,attack,fleeing,False,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,fairhope,AL,fairhope city,61489,fairhope,Fairhope city,0.01,0.06,0,0.01,0.03,101,Fairhope city,95.4
5147,2013-08-10,Gunshot,31,florence,AL,,,,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,florence,AL,florence city,35731,florence,Florence city,0.01,0.19,0,0.01,0.04,99.80000000000001,Florence city,84.4
1848,2016-12-24,shot,33,gadsden,AL,attack,fleeing,False,20.65,40577.31,80.3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,gadsden,AL,gadsden city,29136,gadsden,Gadsden city,0.01,0.36,0,0.01,0.05,100,Gadsden city,78.3
5174,2013-07-29,Gunshot,29,hamilton,AL,,,,20.65,40577.31,80.3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hamilton,AL,hamilton city,33053,hamilton,Hamilton city,0.01,0.08,0,0,0.03,100.7,Hamilton city,82.7
3802,2014-12-27,Gunshot,51,holly pond,AL,,,,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,holly pond,AL,holly pond town,44750,holly pond,Holly Pond town,0.01,0,0,0,0.01,100.60000000000001,Holly Pond town,90.4
