,date,age,city,state,threat_level,flee,body_camera,gender,race,armed,signs_of_mental_illness,Age_range,daysofweek,year,Median Income,share_white,share_black,share_native_american,share_asian,share_hispanic,percent_completed_hs,poverty_rate,month
761,2013-10-20,44,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,36 - 49,Sunday,2013,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,October
762,2013-10-05,25,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Saturday,2013,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,October
763,2013-09-23,18,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,13 - 19,Monday,2013,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,September
764,2013-05-27,32,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Monday,2013,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,May
765,2013-04-24,25,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Wednesday,2013,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,April
766,2013-03-05,37,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,36 - 49,Tuesday,2013,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,March
767,2013-02-09,32,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Saturday,2013,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,February
768,2013-02-07,32,st. louis,MO,threat,not_fleeing,False,Male,W,armed,False,20 - 35,Thursday,2013,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,February
769,2013-01-19,22,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Saturday,2013,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,January
770,2018-12-30,49,llano,TX,no_threat,not_fleeing,False,Male,W,armed,False,36 - 49,Sunday,2018,35950.0,0.86,0.0,0.01,0.01,0.12,80.5,27.1,December
771,2016-04-13,52,llano,TX,threat,not_fleeing,False,Male,W,armed,False,50 - 64,Wednesday,2016,35950.0,0.86,0.0,0.01,0.01,0.12,80.5,27.1,April
772,2013-05-18,30,blytheville,AR,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Saturday,2013,32958.0,0.4,0.56,0.0,0.01,0.03,83.0,27.0,May
773,2018-02-05,35,nice,CA,no_threat,not_fleeing,False,Male,W,armed,False,20 - 35,Monday,2018,62652.87,0.18,0.07,0.01,0.11,0.34,81.0,27.0,February
774,2017-01-24,26,new orleans,LA,threat,flee,True,Male,B,unarmed,False,20 - 35,Tuesday,2017,36792.0,0.33,0.59,0.0,0.03,0.05,85.2,27.0,January
775,2016-02-08,22,new orleans,LA,no_threat,flee,False,Male,B,unarmed,False,20 - 35,Monday,2016,36792.0,0.33,0.59,0.0,0.03,0.05,85.2,27.0,February
